Course_Name,Professor_Name,Median_Score
Accounting ACCTG 215 D,Steve Sefcik Professor WI18,3.45
Accounting ACCTG 215 D,Christina Nichols Lecturer SP18,4.55
Accounting ACCTG 215 DA,Christina Nichols Lecturer WI18,4.6
Accounting ACCTG 215 DB,Christina Nichols Lecturer WI18,4.36
Accounting ACCTG 215 DC,Nancy Pasternack Lecturer SP18,4
Accounting ACCTG 215 DD,Nancy Pasternack Lecturer SP18,5
Accounting ACCTG 219 A,Christina Nichols Lecturer WI18,4.2
Accounting ACCTG 219 A,Christina Nichols Lecturer SU17,4.29
Accounting ACCTG 219 A,Christina Nichols Lecturer AU17,3.91
Accounting ACCTG 219 A,Christina Nichols Lecturer SP18,4.37
Accounting ACCTG 219 B,Christina Nichols Lecturer WI18,4.3
Accounting ACCTG 225 A,Joseph Paperman Lecturer WI18,3.58
Accounting ACCTG 225 A,Joseph Paperman Lecturer SU17,4
Accounting ACCTG 225 A,Phil Quinn Assistant Professor SP18,4.18
Accounting ACCTG 225 A,Joseph Paperman Lecturer AU17,3.81
Accounting ACCTG 225 AA,Unspecified Other AU17,4.09
Accounting ACCTG 225 AB,Unspecified Other AU17,3.86
Accounting ACCTG 225 AC,Lynn Chaffee Other SP18,4.25
Accounting ACCTG 225 AD,Lynn Chaffee Other SP18,4.19
Accounting ACCTG 225 B,Wendy Baesler Assistant Professor WI18,3.7
Accounting ACCTG 225 B,Phil Quinn Assistant Professor SP18,4.62
Accounting ACCTG 225 BA,Jon Ide Other SP18,4.6
Accounting ACCTG 225 BB,Jon Ide Other SP18,4.33
Accounting ACCTG 225 C,Ryan Anthony Lecturer WI18,4
Accounting ACCTG 225 C,Phil Quinn Assistant Professor SP18,4.8
Accounting ACCTG 225 C,Joseph Paperman Lecturer AU17,3.93
Accounting ACCTG 225 CA,Unspecified Other AU17,4.88
Accounting ACCTG 225 CB,Unspecified Other AU17,4.29
Accounting ACCTG 225 CB,Mikhail Alexeeff Lecturer SP18,4.75
Accounting ACCTG 225 CC,Mikhail Alexeeff Lecturer SP18,4.89
Accounting ACCTG 225 CD,Mikhail Alexeeff Lecturer SP18,4.95
Accounting ACCTG 301 A,Terrence Blackburne Assistant Professor WI18,4.5
Accounting ACCTG 301 A,Nancy Pasternack Lecturer SU17,3.83
Accounting ACCTG 301 A,Terrence Blackburne Assistant Professor AU17,4
Accounting ACCTG 301 B,Terrence Blackburne Assistant Professor AU17,3.55
Accounting ACCTG 301 C,Terrence Blackburne Assistant Professor AU17,4.08
Accounting ACCTG 302 A,D. Shores Associate Professor WI18,3.66
Accounting ACCTG 302 A,D. Shores Associate Professor AU17,4.25
Accounting ACCTG 302 A,D. Shores Associate Professor SP18,3.63
Accounting ACCTG 302 B,D. Shores Associate Professor WI18,3.32
Accounting ACCTG 303 A,Stephanie Grant Assistant Professor WI18,4.69
Accounting ACCTG 303 A,Jane Reich Lecturer AU17,4.56
Accounting ACCTG 303 A,Stephanie Grant Assistant Professor SP18,4.58
Accounting ACCTG 303 B,Stephanie Grant Assistant Professor SP18,4.52
Accounting ACCTG 311 A,Wendy Baesler Assistant Professor WI18,3.8
Accounting ACCTG 311 A,Nancy Pasternack Lecturer SU17,3.75
Accounting ACCTG 311 A,Wendy Baesler Assistant Professor AU17,4.57
Accounting ACCTG 311 A,Wendy Baesler Assistant Professor SP18,4.38
Accounting ACCTG 320 A,Thomas Phillips Lecturer SU17,4.75
Accounting ACCTG 320 A,Thomas Phillips Lecturer WI18,4.71
Accounting ACCTG 320 A,Thomas Phillips Lecturer SP18,4.76
Accounting ACCTG 320 A,Thomas Phillips Lecturer AU17,4.8
Accounting ACCTG 321 A,Izzy Weber Lecturer WI18,4.74
