"","Class_Name","Median_Score","Prof_Name","Quarter","Average_Score_By_Class"
"130","Accounting ACCTG 225",3.86,"Unspecified Other ","AU17",4.285
"131","Accounting ACCTG 225",4.25,"Lynn Chaffee ","SP18",4.285
"132","Accounting ACCTG 225",4.19,"Lynn Chaffee ","SP18",4.285
"133","Accounting ACCTG 225",3.7,"Wendy Baesler ","WI18",4.285
"134","Accounting ACCTG 225",4.62,"Phil Quinn ","SP18",4.285
"135","Accounting ACCTG 225",4.6,"Jon Ide ","SP18",4.285
"136","Accounting ACCTG 225",4.33,"Jon Ide ","SP18",4.285
"137","Accounting ACCTG 225",4,"Ryan Anthony ","WI18",4.285
"138","Accounting ACCTG 225",4.8,"Phil Quinn ","SP18",4.285
"139","Accounting ACCTG 225",3.93,"Joseph Paperman ","AU17",4.285
"140","Accounting ACCTG 225",4.88,"Unspecified Other ","AU17",4.285
"141","Accounting ACCTG 225",4.29,"Unspecified Other ","AU17",4.285
"142","Accounting ACCTG 225",4.75,"Mikhail Alexeeff ","SP18",4.285
"143","Accounting ACCTG 225",4.89,"Mikhail Alexeeff ","SP18",4.285
"144","Accounting ACCTG 225",4.95,"Mikhail Alexeeff ","SP18",4.285
"145","Accounting ACCTG 301",4.5,"Terrence Blackburne ","WI18",3.992
"146","Accounting ACCTG 301",3.83,"Nancy Pasternack ","SU17",3.992
"147","Accounting ACCTG 301",4,"Terrence Blackburne ","AU17",3.992
"148","Accounting ACCTG 301",3.55,"Terrence Blackburne ","AU17",3.992
"149","Accounting ACCTG 301",4.08,"Terrence Blackburne ","AU17",3.992
"150","Accounting ACCTG 303",4.69,"Stephanie Grant ","WI18",4.5875
"151","Accounting ACCTG 303",4.56,"Jane Reich ","AU17",4.5875
"152","Accounting ACCTG 303",4.58,"Stephanie Grant ","SP18",4.5875
"153","Accounting ACCTG 303",4.52,"Stephanie Grant ","SP18",4.5875
"154","Accounting ACCTG 311",3.8,"Wendy Baesler ","WI18",4.125
"155","Accounting ACCTG 311",3.75,"Nancy Pasternack ","SU17",4.125
"156","Accounting ACCTG 311",4.57,"Wendy Baesler ","AU17",4.125
"157","Accounting ACCTG 311",4.38,"Wendy Baesler ","SP18",4.125
"158","Accounting ACCTG 320",4.75,"Thomas Phillips ","SU17",4.755
"159","Accounting ACCTG 320",4.71,"Thomas Phillips ","WI18",4.755
"160","Accounting ACCTG 320",4.76,"Thomas Phillips ","SP18",4.755
"161","Accounting ACCTG 320",4.8,"Thomas Phillips ","AU17",4.755
"162","Accounting ACCTG 321",4.74,"Izzy Weber ","WI18",4.58
"163","Accounting ACCTG 321",4.64,"Izzy Weber ","SU17",4.58
"164","Accounting ACCTG 321",4.71,"Izzy Weber ","AU17",4.58
"165","Accounting ACCTG 321",4.23,"Crystal Finkelstein ","SP18",4.58
"166","Accounting ACCTG 411",5,"Thomas Phillips ","SU17",4.88
"167","Accounting ACCTG 411",4.84,"Thomas Phillips ","WI18",4.88
"168","Accounting ACCTG 411",4.72,"Thomas Phillips ","SP18",4.88
"169","Accounting ACCTG 411",4.96,"Thomas Phillips ","AU17",4.88
"170","Accounting ACCTG 440",3.63,"Asher Curtis ","WI18",3.5025
"171","Accounting ACCTG 440",4.5,"Asher Curtis ","AU17",3.5025
"172","Accounting ACCTG 440",2.75,"Andrew Kitto ","SP18",3.5025
"173","Accounting ACCTG 440",3.13,"Andrew Kitto ","SP18",3.5025
"174","Accounting ACCTG 450",4.67,"Steven Rice ","WI18",4.485
"175","Accounting ACCTG 450",4.3,"Crystal Finkelstein ","SP18",4.485
"176","Accounting ACCTG 471",3.76,"Nancy Pasternack ","WI18",4.05
"177","Accounting ACCTG 471",4.14,"Nancy Pasternack ","AU17",4.05
"178","Accounting ACCTG 471",4.25,"Nancy Pasternack ","SP18",4.05
"179","Accounting ACCTG 480",4.17,"Joseph Paperman ","SP18",4.17
"180","Accounting ACCTG 485",4.8,"Jane Reich ","WI18",4.8
"181","Accounting ACCTG 490",4.25,"Nancy Pasternack ","SP18",4.25
"182","Accounting ACCTG 500",4.7,"Weili Ge ","AU17",4.69
"183","Accounting ACCTG 500",4.68,"Weili Ge ","AU17",4.69
"184","Accounting ACCTG 501",2.8,"Sarah Shaikh ","SP18",2.83
"185","Accounting ACCTG 501",2.86,"Sarah Shaikh ","SP18",2.83
"186","Accounting ACCTG 502",4.69,"Frank Hodge ","AU17",4.69
"187","Accounting ACCTG 505",4.17,"David Burgstahler ","SU17",4.21
