117,4.36,Accounting ACCTG 215,Christina Nichols ,WI18,4.23516129
118,4,Accounting ACCTG 215,Nancy Pasternack ,SP18,4.23516129
119,5,Accounting ACCTG 215,Nancy Pasternack ,SP18,4.23516129
120,4.2,Accounting ACCTG 219,Christina Nichols ,WI18,4.214
121,4.29,Accounting ACCTG 219,Christina Nichols ,SU17,4.214
122,3.91,Accounting ACCTG 219,Christina Nichols ,AU17,4.214
123,4.37,Accounting ACCTG 219,Christina Nichols ,SP18,4.214
124,4.3,Accounting ACCTG 219,Christina Nichols ,WI18,4.214
125,3.58,Accounting ACCTG 225,Joseph Paperman ,WI18,4.285
126,4,Accounting ACCTG 225,Joseph Paperman ,SU17,4.285
127,4.18,Accounting ACCTG 225,Phil Quinn ,SP18,4.285
128,3.81,Accounting ACCTG 225,Joseph Paperman ,AU17,4.285
129,4.09,Accounting ACCTG 225,Unspecified Other ,AU17,4.285
130,3.86,Accounting ACCTG 225,Unspecified Other ,AU17,4.285
131,4.25,Accounting ACCTG 225,Lynn Chaffee ,SP18,4.285
132,4.19,Accounting ACCTG 225,Lynn Chaffee ,SP18,4.285
133,3.7,Accounting ACCTG 225,Wendy Baesler ,WI18,4.285
134,4.62,Accounting ACCTG 225,Phil Quinn ,SP18,4.285
135,4.6,Accounting ACCTG 225,Jon Ide ,SP18,4.285
136,4.33,Accounting ACCTG 225,Jon Ide ,SP18,4.285
137,4,Accounting ACCTG 225,Ryan Anthony ,WI18,4.285
138,4.8,Accounting ACCTG 225,Phil Quinn ,SP18,4.285
139,3.93,Accounting ACCTG 225,Joseph Paperman ,AU17,4.285
140,4.88,Accounting ACCTG 225,Unspecified Other ,AU17,4.285
141,4.29,Accounting ACCTG 225,Unspecified Other ,AU17,4.285
142,4.75,Accounting ACCTG 225,Mikhail Alexeeff ,SP18,4.285
143,4.89,Accounting ACCTG 225,Mikhail Alexeeff ,SP18,4.285
144,4.95,Accounting ACCTG 225,Mikhail Alexeeff ,SP18,4.285
145,4.5,Accounting ACCTG 301,Terrence Blackburne ,WI18,3.992
146,3.83,Accounting ACCTG 301,Nancy Pasternack ,SU17,3.992
147,4,Accounting ACCTG 301,Terrence Blackburne ,AU17,3.992
148,3.55,Accounting ACCTG 301,Terrence Blackburne ,AU17,3.992
149,4.08,Accounting ACCTG 301,Terrence Blackburne ,AU17,3.992
150,4.69,Accounting ACCTG 303,Stephanie Grant ,WI18,4.5875
151,4.56,Accounting ACCTG 303,Jane Reich ,AU17,4.5875
152,4.58,Accounting ACCTG 303,Stephanie Grant ,SP18,4.5875
153,4.52,Accounting ACCTG 303,Stephanie Grant ,SP18,4.5875
154,3.8,Accounting ACCTG 311,Wendy Baesler ,WI18,4.125
155,3.75,Accounting ACCTG 311,Nancy Pasternack ,SU17,4.125
156,4.57,Accounting ACCTG 311,Wendy Baesler ,AU17,4.125
157,4.38,Accounting ACCTG 311,Wendy Baesler ,SP18,4.125
158,4.75,Accounting ACCTG 320,Thomas Phillips ,SU17,4.755
