id,Class_Name,Median_Score,Average_Score_By_Class,Professor_Name,Quarter
118,Accounting ACCTG 215,4,4.23516129,Nancy Pasternack ,SP18
119,Accounting ACCTG 215,5,4.23516129,Nancy Pasternack ,SP18
120,Accounting ACCTG 219,4.2,4.214,Christina Nichols ,WI18
121,Accounting ACCTG 219,4.29,4.214,Christina Nichols ,SU17
122,Accounting ACCTG 219,3.91,4.214,Christina Nichols ,AU17
123,Accounting ACCTG 219,4.37,4.214,Christina Nichols ,SP18
124,Accounting ACCTG 219,4.3,4.214,Christina Nichols ,WI18
125,Accounting ACCTG 225,3.58,4.285,Joseph Paperman ,WI18
126,Accounting ACCTG 225,4,4.285,Joseph Paperman ,SU17
127,Accounting ACCTG 225,4.18,4.285,Phil Quinn ,SP18
128,Accounting ACCTG 225,3.81,4.285,Joseph Paperman ,AU17
129,Accounting ACCTG 225,4.09,4.285,Unspecified Other ,AU17
130,Accounting ACCTG 225,3.86,4.285,Unspecified Other ,AU17
131,Accounting ACCTG 225,4.25,4.285,Lynn Chaffee ,SP18
132,Accounting ACCTG 225,4.19,4.285,Lynn Chaffee ,SP18
133,Accounting ACCTG 225,3.7,4.285,Wendy Baesler ,WI18
134,Accounting ACCTG 225,4.62,4.285,Phil Quinn ,SP18
135,Accounting ACCTG 225,4.6,4.285,Jon Ide ,SP18
136,Accounting ACCTG 225,4.33,4.285,Jon Ide ,SP18
137,Accounting ACCTG 225,4,4.285,Ryan Anthony ,WI18
138,Accounting ACCTG 225,4.8,4.285,Phil Quinn ,SP18
139,Accounting ACCTG 225,3.93,4.285,Joseph Paperman ,AU17
140,Accounting ACCTG 225,4.88,4.285,Unspecified Other ,AU17
141,Accounting ACCTG 225,4.29,4.285,Unspecified Other ,AU17
142,Accounting ACCTG 225,4.75,4.285,Mikhail Alexeeff ,SP18
143,Accounting ACCTG 225,4.89,4.285,Mikhail Alexeeff ,SP18
144,Accounting ACCTG 225,4.95,4.285,Mikhail Alexeeff ,SP18
145,Accounting ACCTG 301,4.5,3.992,Terrence Blackburne ,WI18
146,Accounting ACCTG 301,3.83,3.992,Nancy Pasternack ,SU17
147,Accounting ACCTG 301,4,3.992,Terrence Blackburne ,AU17
148,Accounting ACCTG 301,3.55,3.992,Terrence Blackburne ,AU17
149,Accounting ACCTG 301,4.08,3.992,Terrence Blackburne ,AU17
150,Accounting ACCTG 303,4.69,4.5875,Stephanie Grant ,WI18
