87,Asian American Studies AAS 402 A,4.81,Asian American Studies AAS 402,Jang Huh ,SP18,4.81
88,Accounting ACCTG 199 A,4.31,Accounting ACCTG 199,Peter Demerjian ,WI18,4.61
89,Accounting ACCTG 199 A,4.79,Accounting ACCTG 199,Peter Demerjian ,AU17,4.61
90,Accounting ACCTG 199 A,4.73,Accounting ACCTG 199,Izzy Weber ,SP18,4.61
91,Accounting ACCTG 215 A,4.22,Accounting ACCTG 215,Peter Demerjian ,WI18,4.23516129032258
92,Accounting ACCTG 215 A,4.56,Accounting ACCTG 215,Izzy Weber ,SU17,4.23516129032258
93,Accounting ACCTG 215 A,4.21,Accounting ACCTG 215,Peter Demerjian ,AU17,4.23516129032258
94,Accounting ACCTG 215 A,3.96,Accounting ACCTG 215,Izzy Weber ,SP18,4.23516129032258
95,Accounting ACCTG 215 AA,4.67,Accounting ACCTG 215,Christina Nichols ,SU17,4.23516129032258
96,Accounting ACCTG 215 AA,4.54,Accounting ACCTG 215,Ruby Lee ,SP18,4.23516129032258
97,Accounting ACCTG 215 AB,4.73,Accounting ACCTG 215,Christina Nichols ,SU17,4.23516129032258
98,Accounting ACCTG 215 AB,4.59,Accounting ACCTG 215,Ruby Lee ,SP18,4.23516129032258
99,Accounting ACCTG 215 AC,4.57,Accounting ACCTG 215,Christina Nichols ,SU17,4.23516129032258
100,Accounting ACCTG 215 AC,4.56,Accounting ACCTG 215,Kiara Wilson ,SP18,4.23516129032258
101,Accounting ACCTG 215 AD,4.2,Accounting ACCTG 215,Kiara Wilson ,SP18,4.23516129032258
102,Accounting ACCTG 215 B,4.44,Accounting ACCTG 215,Steve Sefcik ,WI18,4.23516129032258
103,Accounting ACCTG 215 B,4.23,Accounting ACCTG 215,Peter Demerjian ,AU17,4.23516129032258
104,Accounting ACCTG 215 B,4.15,Accounting ACCTG 215,Izzy Weber ,SP18,4.23516129032258
105,Accounting ACCTG 215 BA,4.06,Accounting ACCTG 215,Nancy Pasternack ,WI18,4.23516129032258
106,Accounting ACCTG 215 BB,4.25,Accounting ACCTG 215,Nancy Pasternack ,WI18,4.23516129032258
107,Accounting ACCTG 215 BC,4.32,Accounting ACCTG 215,Sarah Hanan ,SP18,4.23516129032258
108,Accounting ACCTG 215 BD,4.72,Accounting ACCTG 215,Sarah Hanan ,SP18,4.23516129032258
109,Accounting ACCTG 215 C,1,Accounting ACCTG 215,Ryan Anthony ,WI18,4.23516129032258
110,Accounting ACCTG 215 C,4.38,Accounting ACCTG 215,Izzy Weber ,AU17,4.23516129032258
111,Accounting ACCTG 215 C,4,Accounting ACCTG 215,Ryan Anthony ,SP18,4.23516129032258
112,Accounting ACCTG 215 CA,4.11,Accounting ACCTG 215,Nancy Pasternack ,AU17,4.23516129032258
113,Accounting ACCTG 215 CB,4.14,Accounting ACCTG 215,Nancy Pasternack ,AU17,4.23516129032258
114,Accounting ACCTG 215 D,3.45,Accounting ACCTG 215,Steve Sefcik ,WI18,4.23516129032258
115,Accounting ACCTG 215 D,4.55,Accounting ACCTG 215,Christina Nichols ,SP18,4.23516129032258
116,Accounting ACCTG 215 DA,4.6,Accounting ACCTG 215,Christina Nichols ,WI18,4.23516129032258
117,Accounting ACCTG 215 DB,4.36,Accounting ACCTG 215,Christina Nichols ,WI18,4.23516129032258
118,Accounting ACCTG 215 DC,4,Accounting ACCTG 215,Nancy Pasternack ,SP18,4.23516129032258
119,Accounting ACCTG 215 DD,5,Accounting ACCTG 215,Nancy Pasternack ,SP18,4.23516129032258
120,Accounting ACCTG 219 A,4.2,Accounting ACCTG 219,Christina Nichols ,WI18,4.214
121,Accounting ACCTG 219 A,4.29,Accounting ACCTG 219,Christina Nichols ,SU17,4.214
122,Accounting ACCTG 219 A,3.91,Accounting ACCTG 219,Christina Nichols ,AU17,4.214
123,Accounting ACCTG 219 A,4.37,Accounting ACCTG 219,Christina Nichols ,SP18,4.214
124,Accounting ACCTG 219 B,4.3,Accounting ACCTG 219,Christina Nichols ,WI18,4.214
125,Accounting ACCTG 225 A,3.58,Accounting ACCTG 225,Joseph Paperman ,WI18,4.285
126,Accounting ACCTG 225 A,4,Accounting ACCTG 225,Joseph Paperman ,SU17,4.285
127,Accounting ACCTG 225 A,4.18,Accounting ACCTG 225,Phil Quinn ,SP18,4.285
128,Accounting ACCTG 225 A,3.81,Accounting ACCTG 225,Joseph Paperman ,AU17,4.285
129,Accounting ACCTG 225 AA,4.09,Accounting ACCTG 225,Unspecified Other ,AU17,4.285
130,Accounting ACCTG 225 AB,3.86,Accounting ACCTG 225,Unspecified Other ,AU17,4.285
131,Accounting ACCTG 225 AC,4.25,Accounting ACCTG 225,Lynn Chaffee ,SP18,4.285
132,Accounting ACCTG 225 AD,4.19,Accounting ACCTG 225,Lynn Chaffee ,SP18,4.285
133,Accounting ACCTG 225 B,3.7,Accounting ACCTG 225,Wendy Baesler ,WI18,4.285
134,Accounting ACCTG 225 B,4.62,Accounting ACCTG 225,Phil Quinn ,SP18,4.285
135,Accounting ACCTG 225 BA,4.6,Accounting ACCTG 225,Jon Ide ,SP18,4.285
136,Accounting ACCTG 225 BB,4.33,Accounting ACCTG 225,Jon Ide ,SP18,4.285
137,Accounting ACCTG 225 C,4,Accounting ACCTG 225,Ryan Anthony ,WI18,4.285
138,Accounting ACCTG 225 C,4.8,Accounting ACCTG 225,Phil Quinn ,SP18,4.285
139,Accounting ACCTG 225 C,3.93,Accounting ACCTG 225,Joseph Paperman ,AU17,4.285
140,Accounting ACCTG 225 CA,4.88,Accounting ACCTG 225,Unspecified Other ,AU17,4.285
141,Accounting ACCTG 225 CB,4.29,Accounting ACCTG 225,Unspecified Other ,AU17,4.285
142,Accounting ACCTG 225 CB,4.75,Accounting ACCTG 225,Mikhail Alexeeff ,SP18,4.285
143,Accounting ACCTG 225 CC,4.89,Accounting ACCTG 225,Mikhail Alexeeff ,SP18,4.285
144,Accounting ACCTG 225 CD,4.95,Accounting ACCTG 225,Mikhail Alexeeff ,SP18,4.285
145,Accounting ACCTG 301 A,4.5,Accounting ACCTG 301,Terrence Blackburne ,WI18,3.992
146,Accounting ACCTG 301 A,3.83,Accounting ACCTG 301,Nancy Pasternack ,SU17,3.992
147,Accounting ACCTG 301 A,4,Accounting ACCTG 301,Terrence Blackburne ,AU17,3.992
148,Accounting ACCTG 301 B,3.55,Accounting ACCTG 301,Terrence Blackburne ,AU17,3.992
149,Accounting ACCTG 301 C,4.08,Accounting ACCTG 301,Terrence Blackburne ,AU17,3.992
150,Accounting ACCTG 303 A,4.69,Accounting ACCTG 303,Stephanie Grant ,WI18,4.5875
151,Accounting ACCTG 303 A,4.56,Accounting ACCTG 303,Jane Reich ,AU17,4.5875
152,Accounting ACCTG 303 A,4.58,Accounting ACCTG 303,Stephanie Grant ,SP18,4.5875
153,Accounting ACCTG 303 B,4.52,Accounting ACCTG 303,Stephanie Grant ,SP18,4.5875
154,Accounting ACCTG 311 A,3.8,Accounting ACCTG 311,Wendy Baesler ,WI18,4.125
155,Accounting ACCTG 311 A,3.75,Accounting ACCTG 311,Nancy Pasternack ,SU17,4.125
156,Accounting ACCTG 311 A,4.57,Accounting ACCTG 311,Wendy Baesler ,AU17,4.125
157,Accounting ACCTG 311 A,4.38,Accounting ACCTG 311,Wendy Baesler ,SP18,4.125
158,Accounting ACCTG 320 A,4.75,Accounting ACCTG 320,Thomas Phillips ,SU17,4.755
159,Accounting ACCTG 320 A,4.71,Accounting ACCTG 320,Thomas Phillips ,WI18,4.755
160,Accounting ACCTG 320 A,4.76,Accounting ACCTG 320,Thomas Phillips ,SP18,4.755
161,Accounting ACCTG 320 A,4.8,Accounting ACCTG 320,Thomas Phillips ,AU17,4.755
162,Accounting ACCTG 321 A,4.74,Accounting ACCTG 321,Izzy Weber ,WI18,4.58
163,Accounting ACCTG 321 A,4.64,Accounting ACCTG 321,Izzy Weber ,SU17,4.58
164,Accounting ACCTG 321 A,4.71,Accounting ACCTG 321,Izzy Weber ,AU17,4.58
165,Accounting ACCTG 321 A,4.23,Accounting ACCTG 321,Crystal Finkelstein ,SP18,4.58
166,Accounting ACCTG 411 A,5,Accounting ACCTG 411,Thomas Phillips ,SU17,4.88
167,Accounting ACCTG 411 A,4.84,Accounting ACCTG 411,Thomas Phillips ,WI18,4.88
168,Accounting ACCTG 411 A,4.72,Accounting ACCTG 411,Thomas Phillips ,SP18,4.88
169,Accounting ACCTG 411 A,4.96,Accounting ACCTG 411,Thomas Phillips ,AU17,4.88
170,Accounting ACCTG 440 A,3.63,Accounting ACCTG 440,Asher Curtis ,WI18,3.5025
171,Accounting ACCTG 440 A,4.5,Accounting ACCTG 440,Asher Curtis ,AU17,3.5025
172,Accounting ACCTG 440 A,2.75,Accounting ACCTG 440,Andrew Kitto ,SP18,3.5025
173,Accounting ACCTG 440 B,3.13,Accounting ACCTG 440,Andrew Kitto ,SP18,3.5025
174,Accounting ACCTG 450 A,4.67,Accounting ACCTG 450,Steven Rice ,WI18,4.485
175,Accounting ACCTG 450 A,4.3,Accounting ACCTG 450,Crystal Finkelstein ,SP18,4.485
176,Accounting ACCTG 471 A,3.76,Accounting ACCTG 471,Nancy Pasternack ,WI18,4.05
177,Accounting ACCTG 471 A,4.14,Accounting ACCTG 471,Nancy Pasternack ,AU17,4.05
178,Accounting ACCTG 471 A,4.25,Accounting ACCTG 471,Nancy Pasternack ,SP18,4.05
179,Accounting ACCTG 480 A,4.17,Accounting ACCTG 480,Joseph Paperman ,SP18,4.17
180,Accounting ACCTG 485 A,4.8,Accounting ACCTG 485,Jane Reich ,WI18,4.8
181,Accounting ACCTG 490 A,4.25,Accounting ACCTG 490,Nancy Pasternack ,SP18,4.25
182,Accounting ACCTG 500 A,4.7,Accounting ACCTG 500,Weili Ge ,AU17,4.69
183,Accounting ACCTG 500 C,4.68,Accounting ACCTG 500,Weili Ge ,AU17,4.69
184,Accounting ACCTG 501 A,2.8,Accounting ACCTG 501,Sarah Shaikh ,SP18,2.83
185,Accounting ACCTG 501 C,2.86,Accounting ACCTG 501,Sarah Shaikh ,SP18,2.83
186,Accounting ACCTG 502 A,4.69,Accounting ACCTG 502,Frank Hodge ,AU17,4.69
187,Accounting ACCTG 505 A,4.17,Accounting ACCTG 505,David Burgstahler ,SU17,4.21
